"DateTime","Seasonally adjusted","Actual"
"2009-11-01",166040,154893
"2009-12-01",162190,109170
"2010-01-01",159890,192658
"2010-02-01",162720,123613
"2010-03-01",167270,128168
"2010-04-01",167630,157862
"2010-05-01",164250,152032
"2010-06-01",168620,164159
"2010-07-01",171360,219688
"2010-08-01",170290,191401
"2010-09-01",172310,184216
"2010-10-01",172340,232255
"2010-11-01",168220,155364
"2010-12-01",180130,121384
"2011-01-01",168620,207437
"2011-02-01",172030,129860
"2011-03-01",174220,131825
"2011-04-01",176800,157388
"2011-05-01",180290,179063
"2011-06-01",175260,168694
"2011-07-01",174770,227214
"2011-08-01",190960,213975
"2011-09-01",166320,175919
"2011-10-01",150690,205249
"2011-11-01",182090,166552
"2011-12-01",185930,127356
"2012-01-01",183420,224359
"2012-02-01",187280,145388
"2012-03-01",180830,137348
"2012-04-01",181300,178690
"2012-05-01",176860,158362
"2012-06-01",179040,173475
"2012-07-01",189170,246907
"2012-08-01",174270,190103
"2012-09-01",179470,197229
"2012-10-01",179090,238230
"2012-11-01",181150,161596
"2012-12-01",180070,128022
"2013-01-01",184830,223210
"2013-02-01",176900,131652
"2013-03-01",182090,140703
"2013-04-01",184460,161244
"2013-05-01",182780,182210
"2013-06-01",184240,181861
"2013-07-01",185310,240793
"2013-08-01",192040,211225
"2013-09-01",189490,206645
"2013-10-01",185480,241700
"2013-11-01",186310,169504
"2013-12-01",192180,134782
"2014-01-01",189180,228202
"2014-02-01",193730,143163
"2014-03-01",193620,152432
"2014-04-01",189600,165128
"2014-05-01",194650,196231
"2014-06-01",192920,189792
"2014-07-01",193360,247393
"2014-08-01",194330,217096
"2014-09-01",194140,209771
"2014-10-01",198060,254701
"2014-11-01",197690,182726
"2014-12-01",195510,136259
"2015-01-01",201260,246806
"2015-02-01",194590,143015
"2015-03-01",209810,162966
"2015-04-01",205290,198714
"2015-05-01",207150,189138
"2015-06-01",205800,201422
"2015-07-01",209470,266351
"2015-08-01",204550,232600
"2015-09-01",203990,219293
"2015-10-01",209520,271450
"2015-11-01",210460,192971
"2015-12-01",211510,144173
"2016-01-01",209400,262570
"2016-02-01",208820,159399
"2016-03-01",211570,164752
"2016-04-01",218030,194126
"2016-05-01",219240,214781
"2016-06-01",221810,214579
"2016-07-01",218090,286053
"2016-08-01",221380,247585
"2016-09-01",225520,240404
"2016-10-01",223750,294808
"2016-11-01",228120,206046
"2016-12-01",229990,156094
"2017-01-01",227820,288306
"2017-02-01",251880,184547
"2017-03-01",239500,179276
"2017-04-01",234790,221345
"2017-05-01",229720,220392
"2017-06-01",235010,224810
"2017-07-01",232590,311944
"2017-08-01",234610,258628
"2017-09-01",240830,259036
"2017-10-01",243930,319931
"2017-11-01",240080,214488
"2017-12-01",243420,167066
"2018-01-01",250460,316840
"2018-02-01",240960,176835
"2018-03-01",242810,183140
"2018-04-01",248150,235936
"2018-05-01",249770,231669
"2018-06-01",249990,244680
"2018-07-01",259910,345136
"2018-08-01",260150,284801
"2018-09-01",254240,278617
"2018-10-01",250940,326229
"2018-11-01",252200,221845
"2018-12-01",250170,174279
"2019-01-01",257230,320945
"2019-02-01",259260,190597
"2019-03-01",254910,194989
"2019-04-01",254330,243302
"2019-05-01",260260,235169
"2019-06-01",258380,257310
"2019-07-01",256670,340250
"2019-08-01",256430,284520
"2019-09-01",256610,279754
"2019-10-01",256110,326409
"2019-11-01",260330,233660
