"DateTime","Seasonally adjusted","Actual"
"2009-11-01",204020,219939
"2009-12-01",210740,341337
"2010-01-01",209610,256652
"2010-02-01",208900,267855
"2010-03-01",210580,243263
"2010-04-01",206830,187962
"2010-05-01",209670,141336
"2010-06-01",213530,145825
"2010-07-01",215310,182904
"2010-08-01",209940,168081
"2010-09-01",209130,174157
"2010-10-01",208480,184898
"2010-11-01",212180,226455
"2010-12-01",210250,345656
"2011-01-01",218010,265553
"2011-02-01",211020,268259
"2011-03-01",194670,215553
"2011-04-01",207740,197777
"2011-05-01",209650,140741
"2011-06-01",187200,131269
"2011-07-01",212730,176084
"2011-08-01",220350,175909
"2011-09-01",261820,219940
"2011-10-01",247010,215902
"2011-11-01",216010,230292
"2011-12-01",218840,364165
"2012-01-01",213260,266839
"2012-02-01",204280,259083
"2012-03-01",210610,239929
"2012-04-01",210080,195668
"2012-05-01",209470,140841
"2012-06-01",216170,151074
"2012-07-01",211450,173539
"2012-08-01",220340,178298
"2012-09-01",214500,179069
"2012-10-01",214210,184200
"2012-11-01",214110,232119
"2012-12-01",220780,363959
"2013-01-01",214470,260637
"2013-02-01",220000,281233
"2013-03-01",225030,270740
"2013-04-01",227820,200583
"2013-05-01",226130,153034
"2013-06-01",225530,159485
"2013-07-01",230060,183718
"2013-08-01",234020,189284
"2013-09-01",231830,191056
"2013-10-01",226320,194973
"2013-11-01",230600,251060
"2013-12-01",232470,381892
"2014-01-01",236960,292446
"2014-02-01",237140,301165
"2014-03-01",228360,253561
"2014-04-01",233120,224194
"2014-05-01",235820,161355
"2014-06-01",237560,162122
"2014-07-01",240070,196856
"2014-08-01",236960,188849
"2014-09-01",236820,193329
"2014-10-01",244560,210597
"2014-11-01",246220,270408
"2014-12-01",248130,402518
"2015-01-01",245850,302432
"2015-02-01",264970,343457
"2015-03-01",251700,291784
"2015-04-01",255360,237966
"2015-05-01",257210,176697
"2015-06-01",260960,176961
"2015-07-01",254820,207984
"2015-08-01",261100,202879
"2015-09-01",268070,216984
"2015-10-01",264680,229379
"2015-11-01",271780,300521
"2015-12-01",273160,444883
"2016-01-01",278790,343446
"2016-02-01",278310,373376
"2016-03-01",284550,344387
"2016-04-01",284100,256685
"2016-05-01",283950,193643
"2016-06-01",286240,196223
"2016-07-01",296140,237872
"2016-08-01",291240,221181
"2016-09-01",300220,245089
"2016-10-01",302210,260246
"2016-11-01",298900,333598
"2016-12-01",301500,494193
"2017-01-01",305890,381068
"2017-02-01",297580,380034
"2017-03-01",303040,343799
"2017-04-01",319880,311866
"2017-05-01",308800,209170
"2017-06-01",336670,230088
"2017-07-01",310690,246945
"2017-08-01",307560,233991
"2017-09-01",311800,252746
"2017-10-01",312960,270515
"2017-11-01",318110,360136
"2017-12-01",314150,513349
"2018-01-01",313030,379228
"2018-02-01",324750,423456
"2018-03-01",316050,388327
"2018-04-01",315370,283910
"2018-05-01",324900,222079
"2018-06-01",314660,212245
"2018-07-01",315540,250523
"2018-08-01",323650,246682
"2018-09-01",319500,258155
"2018-10-01",329750,283568
"2018-11-01",335620,385789
"2018-12-01",327200,529255
"2019-01-01",326370,399346
"2019-02-01",320640,417934
"2019-03-01",329420,378270
"2019-04-01",319460,307409
"2019-05-01",319400,219331
"2019-06-01",319120,213536
"2019-07-01",323520,255585
"2019-08-01",327650,251131
"2019-09-01",326850,261770
"2019-10-01",326350,283834
"2019-11-01",323440,372108
